basin,dem_min,dem_max,dem_mean,dem_std,dem_median,acc_min,acc_max,acc_mean,acc_std,acc_median,slope_mean_deg,slope_p90_deg,pct_slope_gt_15,pct_slope_gt_30,relief_m
Aiechhu,92.0,4160.0,1183.5387073194624,699.5251658544488,1091.0,1.0,3754703.0,210.07882382197573,7825.328906406678,3.0,21.20043744960475,34.51346206665039,72.05559867672436,21.69840468421489,4068.0
Merak_Sakteng,2690.0,4483.0,3882.785850657616,340.27828472535504,3965.0,1.0,10252.0,65.09906661009758,487.9188797398558,3.0,20.38210483400509,31.582006454467773,71.32477725922783,13.740984302078916,1793.0
Mangdechhu,109.0,7065.0,3230.588247927664,1302.8783775917884,3287.0,1.0,979449.0,1070.5021723324644,21801.824508764752,3.0,23.06343013759091,35.97182083129883,77.34203054466926,25.22693731663248,6956.0
Jaldhakha,210.0,4577.0,1588.7972955679734,1011.3412521430524,1403.0,1.0,72476.0,199.1156279770792,2573.336116817856,3.0,21.281972941460847,33.42652893066406,74.67047732798703,18.17600136501301,4367.0
Amochhu,164.0,6689.0,3187.160343705831,1411.2722283472765,3521.0,1.0,497461.0,894.6568662643305,16011.294544851857,3.0,22.034436018815576,34.454345703125,75.49656368952805,21.33036442091251,6525.0
Wangchhu,117.0,6689.0,3228.4318490508285,1081.635175387286,3270.0,1.0,602706.0,1076.646375485426,19988.66549096743,4.0,23.030789881457203,34.84444808959961,80.52014717416672,22.038661913901837,6572.0
Drangmechhu,90.0,7127.0,3824.0232266350863,1417.1952908515982,4292.0,1.0,3756205.0,1944.0813184271128,52827.40369278861,4.0,22.54006138803244,35.92820358276367,74.82065234279243,24.17148598398663,7037.0
Punatsangchhu,94.0,7087.0,3149.052890177742,1405.579514302793,3117.0,1.0,1277715.0,1444.768641159368,33802.49445875841,3.0,23.648237568563978,36.66732406616211,79.31421035278602,26.66351946767377,6993.0
Nyera_Amari,99.0,4462.0,1536.84971285419,1003.4226707863708,1391.0,1.0,145267.0,313.954687867926,4747.392244780142,3.0,22.749069556003246,36.31927490234375,75.24920855027341,25.221409696240286,4363.0
Jomori,217.0,4477.0,2239.513227669392,918.928037520883,2243.0,1.0,95581.0,408.9635292149976,5032.719802962552,3.0,26.13415336029043,37.785282135009766,88.16249028462363,33.79081687868323,4260.0
